<TICKER>        <NAME>
HEL             HELIO
HLD             HOLLYWOOD
HMI             HMINWEST
HRP             HARPER
HRS             HERKULES
HUB             HUBSTYLE
I2D             I2DEV
IAG             IALBGR
IBS             IBSM
IDA             IDEABANK
IDG             INDYGO
IDM             IDMSA
IFC             IFCAPITAL
IFI             IFIRMA
IFR             IFSA
IIA             IIAAV
IMC             IMCOMPANY
IMP             IMPERA
IMS             IMS
INC             INC
INF             INTERFERI
ING             INGBSK
INK             INSTALKRK
INL             INTROL
INP             INPRO
INV             INVISTA
IPE             IPOPEMA
IPF             PROVIDENT
IPL             IMPEL
IPO             INTERSPPL
IRL             INTERAOLT
ITB             INTERBUD
ITM             ITMTRADE
IZB             IZOBLOK
IZO             IZOLACJA
IZS             IZOSTAL
JJO             JJAUTO
JSW             JSW
JWC             JWCONSTR
JWW             JWWINVEST
K2I             K2INTERNT
KAN             KANIA
KBD             KBDOM
KCH             KRAKCHEM
KCI             KCI
KDM             KDMSHIPNG
KER             KERNEL
KGH             KGHM
KGL             KGL
KGN             KOGENERA
KMP             KOMPAP
KOM             KOMPUTRON
KPD             KPPD
KPL             KINOPOL
KRC             KREC
KRI             KREDYTIN
KRK             KRKA
KRU             KRUK
KSG             KSGAGRO
KSW             KRUSZWICA
KTY             KETY
KVT             KRVITAMIN
KZS             KREZUS
LAB             LABOPRINT
LBT             LIBET
LBW             LUBAWA
LEN             LENA
LKD             LOKUM
LPP             LPP
LRK             LARK
LRQ             LARQ
LSI             LSISOFT
LTS             LOTOS
LTX             LENTEX
LVC             LIVECHAT
LWB             BOGDANKA
MAB             MABION
MAK             MAKARONPL
MBK             MBANK
MBR             MOBRUK
MBW             MBWS
MCI             MCI
MCP             MEDIACAP
MCR             MERCOR
MDG             MEDICALG
MDI             MDIENERGIA
MEG             MEGARON
MEX             MEXPOLSKA
MFO             MFO
MGT             MANGATA
MIL             MILLENNIUM
MIR             MIRACULUM
MLG             MLPGROUP
MLK             MILKILAND
MLS             MLSYSTEM
MNC             MENNICA
MOJ             MOJ
MOL             MOL
MON             MONNARI
MPH             MASTERPHA
MRB             MIRBUD
MRC             MERCATOR
MSP             MOSTALPLC
MSW             MOSTALWAR
MSZ             MOSTALZAB
MTL             MEDIATEL
MVP             MARVIPOL
MWT             MWTRADE
MXC             MAXCOM
MZA             MUZA
NCT             NORTCOAST
NET             NETIA
NEU             NEUCA
NNG             NANOGROUP
NTT             NTTSYSTEM
NTU             NOVATURAS
NVA             PANOVA
NVG             NOVAVISGR
NVT             NOVITA
NWG             NEWAG
OAT             OAT
OBL             ORZBIALY
ODL             ODLEWNIE
OEX             OEX
OPF             OPENFIN
OPG             ORCOGROUP
OPL             ORANGEPL
OPM             OPTEAM
OPN             OPONEO.PL
OTM             OTMUCHOW
OTS             OTLOG
OVO             OVOSTAR
PAT             PATENTUS
PBF             PBSFINANSE
PBG             PBG
PBX             PEKABEX
PCE             POLICE
PCG             PCGUARD
PCR             PCCROKITA
PCX             PCCEXOL
PDZ             PRAIRIE
PEM             PEMANAGER
PEO             PEKAO
PEP             PEP
PEX             PEIXIN
PGE             PGE
PGM             PMPG
PGN             PGNIG
PGO             PGO
PHN             PHN
PHR             PHARMENA
PIW             PLATYNINW
PJP             PROJPRZEM
PKN             PKNORLEN
PKO             PKOBP
PKP             PKPCARGO
PLW             PLAYWAY
PLX             PLASTBOX
PLY             PLAY
PLZ             PLAZACNTR
PMA             PRIMAMODA
PMP             PAMAPOL
PND             POLNORD
POZ             POZBUD
PPS             PEPEES
PRD             PROCAD
PRF             PRAGMAFA
PRI             PRAGMAINK
PRM             PROCHEM
PRT             PROTEKTOR
PSW             PGSSOFT
PTH             PRIMETECH
PUE             ZPUE
PUN             PUNKPIRAT
PWX             POLWAX
PXM             POLIMEXMS
PZU             PZU
QNT             QUANTUM
QRS             QUERCUS
R22             R22
RAF             RAFAMET
RBW             RAINBOW
RDL             RADPOL
RDN             REDAN
REG             REGNON
RES             RESBUD
RFK             RAFAKO
RHD             REINHOLD
RLP             RELPOL
RMK             REMAK
RNC             REINO
RNK             RANKPROGR
RON             RONSON
RPC             ROPCZYCE
RVU             RYVU
RWL             RAWLPLUG
SAN             SANTANDER
SCO             SCOPAK
SEK             SEKO
SEL             SELENAFM
SEN             SERINUS
SES             SESCOM
SFG             SILVANO
SFS             SFINKS
SGN             SYGNITY
SGR             SADOVAYA
SHD             SOHODEV
SHG             STARHEDGE
SKA             SNIEZKA
SKH             SKARBIEC
SKL             SKYLINE
SKT             SKOTAN
SLV             SELVITA
SLZ             SLEEPZAG
SME             SIMPLE
SNK             SANOK
SNT             SYNEKTIK
SNW             SANWIL
SNX             SUNEX
SOL             SOLAR
SON             SONEL
SPH             SOPHARMA
SPL             SANPL
STF             STALPROFI
STL             STELMET
STP             STALPROD
STX             STALEXP
SUW             SUWARY
SVRS            SILVAIR-REGS
SWD             SWISSMED
SWG             SECOGROUP
TAR             TARCZYNSKI
TBL             TBULL
TEN             TSGAMES
TIM             TIM
TLX             TALEX
TMR             TATRY
TNX             TALANX
TOA             TOYA
TOR             TORPOL
TOW             TOWERINVT
TPE             TAURONPE
TRI             TRITON
TRK             TRAKCJA
TRN             TRANSPOL
TRR             TERMOREX
TSG             TESGAS
TXM             TXM
U2K             UNIMA
UCG             UNICREDIT
ULG             ULTGAMES
ULM             ULMA
UNI             UNIBEP
UNT             UNIMOT
URS             URSUS
VGO             VIGOSYS
VIN             VINDEXUS
VOT             VOTUM
VOX             VOXEL
VRG             VRG
VTI             VENTUREIN
VTL             VISTAL
VVD             VIVID
WAS             WASKO
WAX             WADEX
WIK             WIKANA
WIS             WINVEST
WLT             WIELTON
WOJ             WOJAS
WPL             WIRTUALNA
WSE             WORKSERV
WTN             WITTCHEN
WWL             WAWEL
WXF             WARIMPEX
XTB             XTB
XTP             XTPL
YOL             YOLO
ZAP             PULAWY
ZEP             ZEPAK
ZMT             ZAMET
ZRE             ZREMB
ZST             ZASTAL
ZUE             ZUE
ZUK             STAPORKOW
ZWC             ZYWIEC
