<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF,D,20080320,000000,7.9886,8.236,7.9886,8.236,864,0
PRF,D,20080325,000000,8.236,8.236,8.236,8.236,189,0
PRF,D,20080326,000000,7.9738,8.175,7.9738,8.175,376,0
PRF,D,20080327,000000,8.128,8.128,7.9886,8.128,6226,0
PRF,D,20080328,000000,8.128,8.128,8.128,8.128,3439,0
PRF,D,20080331,000000,8.128,8.128,8.128,8.128,2279,0
PRF,D,20080401,000000,8.128,8.128,8.128,8.128,428,0
PRF,D,20080403,000000,8.0351,8.0351,7.9886,7.9886,2591,0
PRF,D,20080404,000000,7.9886,7.9886,7.9886,7.9886,1954,0
PRF,D,20080407,000000,8.0351,8.128,8.0351,8.128,859,0
PRF,D,20080408,000000,8.128,8.128,8.128,8.128,4670,0
PRF,D,20080409,000000,8.3151,8.3383,8.3151,8.3151,9094,0
PRF,D,20080410,000000,8.3151,8.3151,8.0351,8.291,547,0
PRF,D,20080411,000000,8.128,8.291,8.0118,8.291,2245,0
PRF,D,20080414,000000,8.1613,8.1707,8.128,8.1707,2751,0
PRF,D,20080415,000000,8.175,8.4087,8.175,8.4087,18741,0
PRF,D,20080416,000000,8.1982,8.4792,8.1982,8.4792,2221,0
PRF,D,20080417,000000,8.5299,8.5393,8.2446,8.4732,4445,0
PRF,D,20080421,000000,8.2214,8.4929,8.2214,8.4929,15645,0
PRF,D,20080422,000000,8.2678,8.4929,8.2678,8.4929,5703,0
PRF,D,20080423,000000,8.456,8.456,8.2446,8.3615,11925,0
PRF,D,20080425,000000,8.3151,8.3615,8.2446,8.3615,2303,0
PRF,D,20080428,000000,8.3615,8.3615,8.3615,8.3615,21558,0
PRF,D,20080429,000000,8.175,8.4929,8.175,8.4929,23659,0
PRF,D,20080505,000000,8.291,8.4732,8.291,8.4732,130,0
PRF,D,20080506,000000,8.4929,8.8289,8.2497,8.8289,30199,0
PRF,D,20080507,000000,8.8289,8.8289,8.3666,8.413,34432,0
PRF,D,20080508,000000,8.4972,8.4972,8.4972,8.4972,240,0
PRF,D,20080509,000000,8.633,8.6424,8.4087,8.5024,11140,0
PRF,D,20080512,000000,8.6424,8.712,8.4972,8.712,44864,0
PRF,D,20080513,000000,8.712,8.712,8.5024,8.712,62186,0
PRF,D,20080514,000000,8.712,8.712,8.572,8.712,69049,0
PRF,D,20080515,000000,8.712,8.712,8.5067,8.5067,9542,0
PRF,D,20080516,000000,8.5488,9.576,8.5488,9.0394,445492,0
PRF,D,20080519,000000,9.0437,9.2955,9.0162,9.109,4332,0
PRF,D,20080520,000000,9.2912,9.3427,9.0111,9.0111,1377,0
PRF,D,20080521,000000,9.109,9.3427,9.0626,9.3195,887,0
PRF,D,20080523,000000,9.2018,9.2018,9.2018,9.2018,290,0
PRF,D,20080526,000000,9.109,9.109,9.109,9.109,191,0
PRF,D,20080527,000000,9.0111,9.0205,9.0111,9.0205,521,0
PRF,D,20080528,000000,9.0205,9.152,8.7816,9.152,1720,0
PRF,D,20080529,000000,9.0162,9.152,9.0162,9.152,663,0
PRF,D,20080530,000000,9.0162,9.2955,9.0162,9.2955,2407,0
PRF,D,20080602,000000,9.109,9.109,9.0626,9.0669,980,0
PRF,D,20080603,000000,8.8521,9.2491,8.8383,9.2491,869,0
PRF,D,20080605,000000,9.109,9.109,8.596,8.7816,1326,0
PRF,D,20080606,000000,9.109,9.109,9.109,9.109,236,0
PRF,D,20080609,000000,9.0162,9.0162,9.0162,9.0162,428,0
PRF,D,20080610,000000,9.0059,9.0059,9.0059,9.0059,2781,0
PRF,D,20080611,000000,8.596,8.6424,8.596,8.596,22135,0
PRF,D,20080612,000000,8.4087,8.9552,8.4087,8.9552,1906,0
PRF,D,20080613,000000,8.8753,8.8753,8.8753,8.8753,428,0
PRF,D,20080618,000000,8.6888,8.6888,8.6424,8.6424,3093,0
PRF,D,20080619,000000,8.6424,8.6888,8.6424,8.6424,884,0
PRF,D,20080620,000000,8.6424,8.871,8.6424,8.871,127,0
PRF,D,20080627,000000,8.5763,8.5763,8.5763,8.5763,107,0
PRF,D,20080630,000000,8.4087,8.4792,8.175,8.4792,589,0
PRF,D,20080701,000000,8.4087,8.4087,8.175,8.175,1550,0
PRF,D,20080703,000000,7.6471,7.9414,7.6471,7.9414,5833,0
PRF,D,20080704,000000,7.7547,7.9414,7.7547,7.9414,2463,0
PRF,D,20080707,000000,7.8476,7.8476,7.661,7.661,524,0
PRF,D,20080708,000000,7.661,7.8941,7.661,7.8941,1235,0
PRF,D,20080709,000000,7.9646,7.9646,7.9553,7.9553,1231,0
PRF,D,20080710,000000,7.9646,7.9692,7.9646,7.9692,5023,0
PRF,D,20080711,000000,8.2678,8.2678,7.9886,8.0351,6850,0
PRF,D,20080714,000000,8.0583,8.2678,8.0351,8.2678,2134,0
PRF,D,20080716,000000,8.3151,8.334,8.0815,8.334,3051,0
PRF,D,20080717,000000,7.9646,8.175,7.9646,8.0351,556,0
PRF,D,20080718,000000,7.9925,8.175,7.9886,8.175,1593,0
PRF,D,20080721,000000,8.2446,8.2678,8.2446,8.2678,928,0
PRF,D,20080724,000000,8.0397,8.3383,8.0397,8.0397,604,0
PRF,D,20080725,000000,8.0351,8.0351,8.0351,8.0351,98,0
PRF,D,20080728,000000,8.0815,8.128,8.0815,8.128,308,0
PRF,D,20080729,000000,8.3108,8.3529,8.2214,8.3529,1322,0
PRF,D,20080730,000000,8.4087,8.5488,8.2214,8.5436,4158,0
PRF,D,20080731,000000,8.5436,8.9595,8.5436,8.8753,18711,0
PRF,D,20080801,000000,8.9741,9.1322,8.8332,9.1322,6744,0
PRF,D,20080804,000000,9.2405,9.2405,9.1322,9.1322,1617,0
PRF,D,20080805,000000,8.8753,9.0953,8.8753,9.0626,382,0
PRF,D,20080806,000000,9.0575,9.0575,8.8753,8.8753,294,0
PRF,D,20080807,000000,8.8753,8.8753,8.413,8.8057,3526,0
PRF,D,20080808,000000,8.5299,8.8667,8.5256,8.8667,3565,0
PRF,D,20080811,000000,8.5531,8.5531,8.5531,8.5531,1072,0
PRF,D,20080812,000000,8.4087,8.6424,8.3434,8.6424,1037,0
PRF,D,20080814,000000,8.2678,8.2678,8.2678,8.2678,212,0
PRF,D,20080818,000000,8.6373,8.6373,8.6373,8.6373,535,0
PRF,D,20080819,000000,8.2678,8.2678,8.2678,8.2678,177,0
PRF,D,20080820,000000,8.1326,8.1326,8.1326,8.1326,172,0
PRF,D,20080821,000000,8.2678,8.291,8.2678,8.291,854,0
PRF,D,20080822,000000,8.291,8.291,8.291,8.291,611,0
PRF,D,20080825,000000,8.6373,8.6373,8.6373,8.6373,99,0
PRF,D,20080826,000000,8.2446,8.5024,8.2446,8.5024,19054,0
PRF,D,20080828,000000,8.6192,8.6424,8.6192,8.6424,1072,0
PRF,D,20080829,000000,8.3383,8.7722,8.3383,8.7722,30,0
PRF,D,20080901,000000,8.3615,8.4087,8.3615,8.3898,3212,0
PRF,D,20080902,000000,8.4001,8.4001,8.3941,8.3941,422,0
PRF,D,20080903,000000,8.3666,8.3941,8.3666,8.3666,2716,0
PRF,D,20080904,000000,8.2738,8.7782,8.2738,8.2738,6110,0
PRF,D,20080905,000000,8.7163,8.7258,8.2738,8.3151,965,0
PRF,D,20080909,000000,8.1326,8.1326,8.0351,8.0351,5715,0
PRF,D,20080910,000000,8.0351,8.0351,7.9414,7.9414,1758,0
PRF,D,20080911,000000,7.9274,7.9274,7.9274,7.9274,107,0
PRF,D,20080912,000000,7.9274,8.3898,7.9228,8.3898,256,0
PRF,D,20080915,000000,7.7547,8.3761,7.7547,7.8941,853,0
PRF,D,20080916,000000,7.8941,7.9228,7.8941,7.8941,1729,0
PRF,D,20080917,000000,7.8941,8.3434,7.8941,8.3434,5259,0
PRF,D,20080918,000000,7.8941,8.3434,7.8941,8.3434,809,0
PRF,D,20080922,000000,8.0583,8.3615,8.0351,8.3615,1718,0
PRF,D,20080923,000000,7.9886,8.175,7.9886,8.175,2751,0
PRF,D,20080924,000000,8.0351,8.3151,7.9886,8.3151,5250,0
PRF,D,20080925,000000,8.3529,8.4972,8.175,8.4972,23576,0
PRF,D,20080926,000000,8.4972,8.4972,8.0861,8.4929,357,0
PRF,D,20080930,000000,7.9925,8.4929,7.9886,8.4929,8504,0
PRF,D,20081001,000000,8.5161,8.5161,8.5161,8.5161,35,0
PRF,D,20081002,000000,8.4792,8.596,8.4792,8.596,3431,0
PRF,D,20081003,000000,8.2214,8.6373,8.2214,8.6373,402,0
PRF,D,20081006,000000,8.2265,8.4087,8.128,8.4036,33243,0
PRF,D,20081007,000000,8.1419,8.1419,7.7075,8.0064,24707,0
PRF,D,20081008,000000,7.9414,7.9414,7.8476,7.8476,1082,0
PRF,D,20081009,000000,7.9367,8.1187,7.7314,8.1187,763,0
PRF,D,20081010,000000,7.5959,7.6145,7.3343,7.4744,9036,0
PRF,D,20081013,000000,7.7075,7.7075,7.4744,7.4744,556,0
PRF,D,20081014,000000,7.7075,7.7075,7.479,7.6982,32853,0
PRF,D,20081015,000000,7.8709,7.8709,7.0303,7.4504,2894,0
PRF,D,20081016,000000,7.4504,7.4744,7.4504,7.4744,507,0
PRF,D,20081017,000000,7.6982,7.6982,6.54,7.007,5345,0
PRF,D,20081020,000000,7.1474,7.1474,7.1474,7.1474,147,0
PRF,D,20081021,000000,7.189,7.189,6.9837,7.189,219,0
PRF,D,20081022,000000,7.189,7.189,6.8666,6.9555,797,0
PRF,D,20081023,000000,6.9371,6.9371,6.54,6.9139,583,0
PRF,D,20081024,000000,6.9089,6.9089,6.54,6.54,868,0
PRF,D,20081027,000000,6.8391,6.8391,6.54,6.54,4235,0
PRF,D,20081028,000000,6.5867,6.7735,6.5819,6.7735,2335,0
PRF,D,20081029,000000,6.9371,7.007,6.7686,7.007,4870,0
PRF,D,20081030,000000,6.8201,7.2314,6.8201,7.2314,556,0
PRF,D,20081031,000000,7.2405,7.6843,7.2173,7.6843,4131,0
PRF,D,20081103,000000,7.6843,7.6843,7.6517,7.6517,429,0
PRF,D,20081104,000000,7.6091,7.6091,7.1375,7.5913,11520,0
PRF,D,20081105,000000,6.9837,6.9978,6.7784,6.8059,2012,0
PRF,D,20081106,000000,6.8059,6.9787,6.8059,6.9787,997,0
PRF,D,20081107,000000,6.9604,6.9604,6.9604,6.9604,1,0
PRF,D,20081112,000000,6.9555,6.9555,6.9555,6.9555,1,0
PRF,D,20081113,000000,6.54,6.9139,6.54,6.9139,668,0
PRF,D,20081114,000000,7.124,7.124,7.124,7.124,1,0
PRF,D,20081117,000000,7.124,7.124,7.124,7.124,1,0
PRF,D,20081118,000000,7.124,7.124,6.5867,7.124,400,0
PRF,D,20081119,000000,7.124,7.124,7.124,7.124,1,0
PRF,D,20081120,000000,7.124,7.124,6.7735,7.124,109,0
PRF,D,20081121,000000,7.1192,7.1192,7.1192,7.1192,1,0
PRF,D,20081124,000000,7.1192,7.1192,7.1008,7.1192,176,0
PRF,D,20081125,000000,7.1192,7.1192,7.1192,7.1192,1,0
PRF,D,20081126,000000,7.1192,7.1192,6.7735,7.1192,1852,0
PRF,D,20081127,000000,7.1192,7.1192,7.1192,7.1192,1,0
PRF,D,20081128,000000,7.1192,7.1192,7.1192,7.1192,1,0
PRF,D,20081201,000000,7.1192,7.1192,7.1192,7.1192,1,0
PRF,D,20081202,000000,7.1192,7.1192,6.7269,7.007,510,0
PRF,D,20081203,000000,7.007,7.007,6.6334,6.9837,1502,0
PRF,D,20081204,000000,6.9837,7.1474,6.7269,7.0536,7210,0
PRF,D,20081205,000000,7.0536,7.0536,7.0536,7.0536,1,0
PRF,D,20081208,000000,7.0536,7.0536,7.0536,7.0536,1,0
PRF,D,20081209,000000,7.0536,7.0536,7.0536,7.0536,1,0
PRF,D,20081210,000000,7.0536,7.0536,6.7269,6.7545,461,0
PRF,D,20081211,000000,7.007,7.007,6.7784,6.7967,18627,0
PRF,D,20081212,000000,6.6801,6.7079,6.6801,6.7079,212,0
PRF,D,20081215,000000,6.7079,6.7079,6.638,6.638,531,0
PRF,D,20081216,000000,6.6334,6.7735,6.6334,6.7735,2139,0
PRF,D,20081217,000000,6.9089,6.9089,6.9089,6.9089,1,0
PRF,D,20081218,000000,6.9089,6.9089,6.9089,6.9089,1,0
PRF,D,20081219,000000,6.5165,6.9089,6.5165,6.8666,4255,0
PRF,D,20081222,000000,6.8666,6.8666,6.8666,6.8666,910,0
PRF,D,20081223,000000,6.8666,6.8666,6.3531,6.3998,9670,0
PRF,D,20081229,000000,6.7735,6.7735,6.4465,6.7686,2973,0
PRF,D,20081230,000000,6.7735,6.8574,6.4932,6.8574,5122,0
PRF,D,20081231,000000,6.7269,7.1939,6.5632,7.1939,6144,0
PRF,D,20090105,000000,7.1939,7.1939,6.5913,6.5913,8775,0
PRF,D,20090106,000000,7.0028,7.0028,6.54,6.6099,3971,0
PRF,D,20090107,000000,6.6334,6.6334,6.4231,6.54,2420,0
PRF,D,20090108,000000,6.5867,6.5867,6.5867,6.5867,1,0
PRF,D,20090109,000000,6.5165,6.5165,6.4465,6.5119,240,0
PRF,D,20090112,000000,6.5119,6.5119,6.1662,6.5119,1933,0
PRF,D,20090113,000000,6.2129,6.5119,6.0774,6.3063,55046,0
PRF,D,20090114,000000,6.1195,6.3297,6.1195,6.3297,141,0
